Fecha;Último;Apertura;Máximo;Mínimo
30/12/2019;17.800,00;18.280,00;18.280,00;17.800,00
27/12/2019;18.300,00;18.120,00;18.400,00;18.040,00
26/12/2019;18.120,00;18.240,00;18.340,00;18.060,00
24/12/2019;18.340,00;18.220,00;18.780,00;18.200,00
23/12/2019;18.880,00;18.360,00;18.960,00;18.360,00
20/12/2019;18.360,00;17.960,00;18.400,00;17.940,00
19/12/2019;17.960,00;18.140,00;18.140,00;17.920,00
18/12/2019;18.380,00;17.920,00;18.380,00;17.860,00
17/12/2019;18.020,00;18.060,00;18.100,00;17.720,00
16/12/2019;18.060,00;18.240,00;18.300,00;18.060,00
13/12/2019;18.260,00;18.000,00;18.260,00;18.000,00
12/12/2019;18.000,00;17.560,00;18.080,00;17.560,00
11/12/2019;17.680,00;17.300,00;17.800,00;17.300,00
10/12/2019;17.400,00;17.680,00;17.680,00;17.360,00
9/12/2019;17.400,00;17.600,00;17.680,00;17.400,00
6/12/2019;17.680,00;17.720,00;17.720,00;17.660,00
5/12/2019;17.960,00;18.000,00;18.000,00;17.800,00
4/12/2019;17.980,00;17.700,00;17.980,00;17.560,00
3/12/2019;17.420,00;17.640,00;17.640,00;17.300,00
2/12/2019;17.800,00;17.760,00;17.800,00;17.640,00
29/11/2019;17.560,00;17.580,00;17.600,00;17.500,00
28/11/2019;17.560,00;17.360,00;17.760,00;17.300,00
27/11/2019;17.500,00;17.820,00;17.940,00;17.300,00
26/11/2019;18.000,00;17.960,00;18.000,00;17.580,00
25/11/2019;18.000,00;18.240,00;18.240,00;17.860,00
22/11/2019;18.240,00;18.200,00;18.240,00;18.080,00
21/11/2019;18.260,00;17.840,00;18.260,00;17.500,00
20/11/2019;18.100,00;18.100,00;18.100,00;18.060,00
19/11/2019;18.300,00;18.000,00;18.300,00;17.920,00
18/11/2019;18.200,00;18.300,00;18.300,00;18.040,00
15/11/2019;18.300,00;18.280,00;18.300,00;18.000,00
14/11/2019;18.280,00;18.000,00;18.280,00;18.000,00
13/11/2019;18.300,00;17.800,00;18.300,00;17.800,00
12/11/2019;18.160,00;18.300,00;18.300,00;18.020,00
8/11/2019;18.300,00;17.860,00;18.300,00;17.820,00
7/11/2019;18.300,00;18.000,00;18.300,00;18.000,00
6/11/2019;18.040,00;17.840,00;18.200,00;17.800,00
5/11/2019;17.840,00;18.480,00;18.480,00;17.840,00
1/11/2019;18.420,00;18.360,00;18.500,00;18.240,00
31/10/2019;18.300,00;18.300,00;18.380,00;18.280,00
30/10/2019;18.300,00;18.120,00;18.300,00;18.120,00
29/10/2019;18.280,00;18.020,00;18.380,00;18.020,00
28/10/2019;18.200,00;18.340,00;18.340,00;18.120,00
25/10/2019;18.360,00;18.360,00;18.360,00;18.200,00
24/10/2019;18.360,00;18.380,00;18.380,00;18.300,00
23/10/2019;18.360,00;18.300,00;18.400,00;18.080,00
22/10/2019;18.400,00;17.300,00;18.400,00;17.300,00
21/10/2019;18.000,00;17.400,00;18.000,00;17.400,00
18/10/2019;17.800,00;17.440,00;17.800,00;17.440,00
17/10/2019;17.520,00;17.180,00;17.600,00;17.160,00
16/10/2019;17.600,00;17.380,00;17.700,00;17.320,00
15/10/2019;17.660,00;17.600,00;17.680,00;17.320,00
11/10/2019;17.480,00;17.600,00;17.600,00;17.080,00
10/10/2019;17.500,00;17.680,00;17.680,00;17.460,00
9/10/2019;17.700,00;17.320,00;17.700,00;17.320,00
8/10/2019;17.700,00;17.240,00;17.700,00;17.220,00
7/10/2019;17.700,00;17.520,00;17.700,00;17.520,00
4/10/2019;17.700,00;17.260,00;17.700,00;17.260,00
3/10/2019;17.280,00;17.260,00;17.540,00;17.220,00
2/10/2019;17.740,00;17.060,00;17.740,00;17.000,00
1/10/2019;17.200,00;17.060,00;17.200,00;16.600,00
30/09/2019;17.060,00;17.400,00;17.420,00;17.060,00
27/09/2019;17.400,00;17.680,00;18.000,00;17.400,00
26/09/2019;17.800,00;17.620,00;17.800,00;17.520,00
25/09/2019;17.780,00;17.660,00;17.780,00;17.420,00
24/09/2019;17.660,00;17.660,00;17.760,00;17.500,00
23/09/2019;17.660,00;17.660,00;17.780,00;17.440,00
20/09/2019;17.660,00;17.500,00;17.660,00;17.300,00
19/09/2019;17.660,00;17.800,00;17.800,00;17.520,00
18/09/2019;17.800,00;17.980,00;17.980,00;17.600,00
17/09/2019;17.800,00;17.980,00;17.980,00;17.640,00
16/09/2019;17.980,00;17.900,00;17.980,00;17.680,00
13/09/2019;17.860,00;18.020,00;18.040,00;17.700,00
12/09/2019;18.000,00;17.940,00;18.180,00;17.940,00
11/09/2019;18.200,00;18.360,00;18.360,00;17.840,00
10/09/2019;18.180,00;18.480,00;18.620,00;18.180,00
9/09/2019;18.460,00;18.140,00;18.700,00;18.140,00
6/09/2019;18.360,00;18.000,00;18.360,00;17.860,00
5/09/2019;18.000,00;17.500,00;18.000,00;17.500,00
4/09/2019;17.900,00;17.580,00;17.920,00;17.500,00
3/09/2019;17.800,00;17.800,00;18.000,00;17.740,00
2/09/2019;18.000,00;17.900,00;18.000,00;17.800,00
30/08/2019;18.000,00;17.800,00;18.000,00;17.420,00
29/08/2019;17.540,00;17.480,00;17.760,00;17.480,00
28/08/2019;17.440,00;17.380,00;17.500,00;17.360,00
27/08/2019;17.380,00;16.760,00;17.500,00;16.760,00
26/08/2019;16.760,00;15.780,00;16.760,00;15.780,00
23/08/2019;15.420,00;15.780,00;15.980,00;15.400,00
22/08/2019;15.780,00;15.960,00;16.040,00;15.740,00
21/08/2019;15.960,00;16.020,00;16.260,00;15.960,00
20/08/2019;15.920,00;15.820,00;16.140,00;15.800,00
16/08/2019;15.820,00;16.000,00;16.360,00;15.820,00
15/08/2019;15.760,00;15.640,00;15.820,00;15.120,00
14/08/2019;15.400,00;16.260,00;16.340,00;15.400,00
13/08/2019;16.220,00;16.000,00;16.580,00;16.000,00
12/08/2019;16.060,00;16.200,00;16.300,00;16.060,00
9/08/2019;16.320,00;16.480,00;16.800,00;16.320,00
8/08/2019;16.480,00;16.480,00;16.600,00;16.000,00
6/08/2019;15.960,00;16.020,00;16.240,00;15.680,00
5/08/2019;16.020,00;16.400,00;16.400,00;16.000,00
2/08/2019;16.440,00;16.660,00;16.860,00;16.440,00
1/08/2019;16.400,00;16.820,00;17.020,00;16.340,00
31/07/2019;16.820,00;17.020,00;17.280,00;16.820,00
30/07/2019;17.000,00;17.120,00;17.200,00;17.000,00
29/07/2019;17.200,00;17.460,00;17.460,00;17.120,00
26/07/2019;17.020,00;17.440,00;17.760,00;16.940,00
25/07/2019;17.400,00;17.500,00;17.580,00;17.400,00
24/07/2019;17.600,00;17.620,00;17.720,00;17.580,00
23/07/2019;17.620,00;17.740,00;17.820,00;17.460,00
22/07/2019;17.620,00;17.900,00;17.920,00;17.620,00
19/07/2019;17.900,00;17.700,00;17.900,00;17.640,00
18/07/2019;17.700,00;17.920,00;18.120,00;17.660,00
17/07/2019;17.960,00;18.000,00;18.260,00;17.960,00
16/07/2019;17.960,00;17.760,00;18.100,00;17.580,00
15/07/2019;17.640,00;17.640,00;17.760,00;17.640,00
12/07/2019;17.640,00;17.600,00;17.820,00;17.560,00
11/07/2019;17.640,00;17.840,00;17.840,00;17.600,00
10/07/2019;17.780,00;17.780,00;17.960,00;17.760,00
9/07/2019;17.780,00;17.620,00;17.800,00;17.560,00
8/07/2019;17.620,00;17.700,00;17.700,00;17.540,00
5/07/2019;17.560,00;17.660,00;17.780,00;17.540,00
4/07/2019;17.620,00;17.660,00;17.760,00;17.580,00
3/07/2019;17.660,00;17.320,00;17.680,00;17.300,00
2/07/2019;17.280,00;17.160,00;17.500,00;17.160,00
28/06/2019;17.300,00;17.140,00;17.300,00;17.120,00
27/06/2019;17.120,00;17.260,00;17.300,00;17.120,00
26/06/2019;17.160,00;17.260,00;17.600,00;17.140,00
25/06/2019;17.500,00;17.500,00;17.520,00;17.160,00
21/06/2019;17.460,00;17.440,00;17.460,00;17.120,00
20/06/2019;17.600,00;17.440,00;17.600,00;17.300,00
