"FECH","VACIP","VAFODO","FLETE","IMP1","VACID","PBK","PNK","CANU","fecha","mes","año","fecha_completa"
53706318,869285742501,15794190364,103971527335,90634731000,2243657870556,27278955502,5725524161,NA,"Enero12","Enero",12,2012-01-01
52515380,753291179381,17870806101,59441548928,85215632000,1327547258970,6703621779,17940429600,NA,"Febrero12","Febrero",12,2012-02-01
58444146,970221001405,19698045435,88000243808,119092896000,1990895960241,24282914971,5363544692,NA,"Marzo12","Marzo",12,2012-03-01
54529160,829378952699,15978388258,81996980026,152316541000,1724013362530,10188251687,5578637968,NA,"Abril12","Abril",12,2012-04-01
63315520,1041614618811,23555380267,115798389685,121737966000,2454811904216,23604387791,6344622033,NA,"Mayo12","Mayo",12,2012-05-01
57822876,1041277344590,23508740764,94845336439,143643690000,2138598048120,23036602154,5939346181,NA,"Junio12","Junio",12,2012-06-01
61958931,982490056430,22895705689,115433477122,111768174000,2356194369113,30970800233,5552552358,NA,"Julio12","Julio",12,2012-07-01
64462504,1061403662626,24092433692,83414928286,124371236000,1881213077556,12025668046,6318357434,NA,"Agosto12","Agosto",12,2012-08-01
60787311,1025614260061,21380283297,91107647253,128594563000,2112218554939,19651017957,38309490041,NA,"Septiembre12","Septiembre",12,2012-09-01
69963410,965615283152,19890050251,99779711305,112914086000,2083257868788,18777445970,5955025394,NA,"Octubre12","Octubre",12,2012-10-01
62240556,985517061601,21413027200,91783692104,124239225000,2014672167075,20471445701,4872397066,NA,"Noviembre12","Noviembre",12,2012-11-01
60658176,900570494928,20922583209,68070683526,114994597000,1573978144547,6730225517,3899740775,NA,"Diciembre12","Diciembre",12,2012-12-01
59594907,832803681695,19089108975,97811964378,78270609000,2121570542462,16504927537,7926718600,NA,"Enero13","Enero",13,2013-01-01
58320486,764151971273,18226948629,82343884714,73208447336,1737156611016,6752308671,5095747908,NA,"Febrero13","Febrero",13,2013-02-01
57109187,793608024472,19909096617,97260700495,81745449000,2147259565267,14135283384,4036811628,NA,"Marzo13","Marzo",13,2013-03-01
69434088,1024027056614,24910265759,90535799467,105328284000,2112583240671,6835311400,5374093580,NA,"Abril13","Abril",13,2013-04-01
68286735,985363198649,24804510796,99970979476,140209856000,2395166588767,18675452703,5243892601,NA,"Mayo13","Mayo",13,2013-05-01
56912868,909764410351,22254845296,81828827397,94591656000,1827649737675,6132815870,5887894834,NA,"Junio13","Junio",13,2013-06-01
73019476,1012342504868,23101386992,109255816915,166685136000,2567421546035,7592568347,6255081472,NA,"Julio13","Julio",13,2013-07-01
70015932,1016681020513,25494263964,94848225356,104492295000,2163481897924,7257048285,6358745107,NA,"Agosto13","Agosto",13,2013-08-01
75878803,1209488598878,29737327014,119983658919,140648415000,2665782213271,7306959134,5675165912,NA,"Septiembre13","Septiembre",13,2013-09-01
79255000,1228821999606,29802123726,98009714380,129025741000,2301781578152,12421143248,5509864006,NA,"Octubre13","Octubre",13,2013-10-01
